address,ens_name,follow_count,follow_count_space,follow_count_non_space,total_votes,total_proposal_interaction,total_proposal_interaction_in_space,total_proposal_interaction_non_space,total_nft,rewards_nft
0xd9220628480F074Fe8D1d9A493C0369E6C4FEf0A,liuzan-hua.eth,20,0,20,29887.07496,440,63,377,50,0
0xe626E8ca82603e3B44751f8562B5ED126d345140,tyevlag.eth,20,1,19,546084.6699,439,88,351,50,0
0x8e1f742672e7065D31A0a266B17D412082481d44,NULL,20,1,19,85622.00356,439,74,365,40,1
0x1F14c2F40400471FB4a3AEf1390F6BbBf2AD8F99,streamingfast.eth,20,1,19,52288.21395,418,60,358,50,0
0xdd5770b0F9f17F0228ceE1f08903Ff6b0CC7A7CD,wepoap.eth,17,1,16,32160.78258,417,92,325,50,0
0x6d8d524dbE93B62995285D6be5Fbf3d0CCC0f2FF,l1ning.eth,20,0,20,29001.34181,414,54,360,50,0
0xE6156d93fbA1F2387fCe5f50f1BB45eF51ed5f2b,ryanholloway.eth,11,1,10,107799.9795,409,93,316,50,0
0xE6156d93fbA1F2387fCe5f50f1BB45eF51ed5f2b,ryanholloway.eth,11,1,10,107799.9795,409,93,316,50,0
0x12ef58947285F01cE8d8EcD90b3Ea384B022cd1C,lanke.eth,20,1,19,26868.33215,409,82,327,50,1
0x43dd14091D6769DB1a14873506132bBd7f04D384,2-555.eth,20,1,19,26643.53708,402,83,319,50,0
0x6854FFFA71A4aE49df700d087D377a297C595386,NULL,20,0,20,32738.32255,401,85,316,50,0
0x09DA2d53C9d7e569e428b7F4A5c82C7CD855a7D4,smartinfrastructure.eth,16,1,15,260572.9177,399,92,307,27,1
0x27a69FfBa1E939DDcFEcC8c7e0f967b872BaC65C,meowky.eth,20,1,19,113783.2853,393,78,315,50,2
0x168F87fBfe36B84E44B9d06278B2aA1CC73d7400,0xteaser.eth,20,1,19,220319.1814,392,87,305,50,0
0x86070222395d2035eC39d55Aaf2D93170b12bAbF,bahmanwi.eth,20,1,19,65004.39116,392,89,303,50,0
0x9Adfd762D997bd382028A579Bb68bDD49d97493c,sissixin.eth,20,1,19,38340.85074,392,77,315,41,2
0x4929f4d38F2955649b5aa34343da04cf790B9D92,pepedefi.eth,20,1,19,1047781.425,387,92,295,43,1
0xA0efD27acC781549D5b78e89E561AA0903932d56,spoken.bakerydao.eth,14,1,13,508217.2965,380,93,287,45,2
0x884c95d6e9222D9E503Bbfefad376321a85436ca,morelo.eth,20,0,20,47666.76442,376,67,309,50,0
0xC292573D51097347bA34Bec624fD088DD3D0314A,junjie5031.eth,20,0,20,61675.12207,375,92,283,50,3
0xC292573D51097347bA34Bec624fD088DD3D0314A,junjie5031.eth,20,0,20,61675.12207,375,92,283,50,3
0xd182768D1a7B9a09515464e017dBCDaA2993e059,arz2arz.eth,20,0,20,27275.02753,373,63,310,50,0
0x52CDed5247DC34228F42381eeB1f7b1C295a7Ab0,NULL,19,1,18,68167.63341,372,93,279,50,2
0x71FF65395A8998409608F8003007C4144978169d,moonedog.eth,17,1,16,58775.8848,372,86,286,43,2
0xADa29d37eF1ac3Df5D76413eCF752013F7870202,tmags.eth,20,0,20,54925.34589,371,86,285,50,0
0xBf207EA5de7D210DB9F70Baf7c79Bb8c6c36666c,thinget.eth,20,1,19,49991.1393,369,88,281,50,2
0x2D054602f39Ee2285Fdde7300753E9484D42aDBD,cantopop.eth,18,1,17,252402.8084,366,92,274,50,0
0xd5Cf44F59D0079bE8764d1041c5D238864E7A28B,0xdydx.eth,20,1,19,107122.1964,364,72,292,50,2
0xd5Cf44F59D0079bE8764d1041c5D238864E7A28B,0xdydx.eth,20,1,19,107122.1964,364,72,292,50,2
0x958c20A43F5206F186B0195cCB61Acb724b2EE1E,hirokennelly.eth,11,1,10,455291.797,361,77,284,30,0
0x1d5E65a087eBc3d03a294412E46CE5D6882969f4,ronbrowz.eth,17,1,16,102724.072,359,14,345,7,0
0x1d5E65a087eBc3d03a294412E46CE5D6882969f4,ronbrowz.eth,17,1,16,102724.072,359,14,345,7,0
0xb3313b023e68CdA95d7B625200e1B0fE6335A0c2,rsrosabio.eth,20,0,20,103951.4596,357,80,277,50,0
